Id;param_id;time;channel;amplitude;duration;energy;rms;status;threshold;rise_time;counts;trai;spectral_centroid_khz;peak_frequency_khz;clearance_factor;crest_factor;impulse_factor;kurtosis;partial_power_100_400khz;shape_factor;skewness;spectral_entropy;spectral_flatness;spectral_kurtosis;spectral_peak_frequency_hz;spectral_rolloff_hz
1647;2;7627.0301197;1;72.8;210.6;182532.958984375;2944.0;32768;69.9;35.2;2;120;481.1;0.4;93.39;16.64;40.17;82.62;0.2686;2.41;0.77;0.9488;0.5311;1.65;366.2;960235.6
1648;2;7628.889823099999;1;71.8;521.6;375796.630859375;2683.9;32768;69.9;249.6;2;121;477.2;70.0;61.0;10.57;25.29;33.69;0.2724;2.39;-0.27;0.9503;0.5407;1.67;70037.8;958465.6
1649;3;7631.6295528;2;74.0;538.8;258016.11328125;2188.3;32768;69.9;424.5;2;122;16.6;13.7;5.04;3.38;4.24;3.15;0.0033;1.25;-0.16;0.3766;0.0041;407.54;13671.9;24414.1
1650;2;7633.4912814;1;74.0;1383.0;844731.689453125;2471.9;32768;69.9;41.6;10;123;468.2;12.2;68.26;9.63;26.03;33.2;0.2686;2.7;0.46;0.9478;0.5289;1.65;12176.5;957733.2
1653;3;7636.063606899999;2;98.8;915.9;14679855.46875;12659.7;32768;69.9;144.2;66;124;108.3;129.9;23.11;7.23;14.36;15.71;0.6095;1.99;-0.04;0.5799;0.0007;36.09;129882.8;139648.4
1654;2;7636.063695399999;1;79.0;227.5;325499.755859375;3782.7;32768;69.9;23.8;15;125;479.2;0.8;183.76;26.35;77.14;227.63;0.2675;2.93;0.28;0.9519;0.5376;1.65;793.5;958404.5
1655;3;7636.2264711;2;72.2;411.4;122141.6015625;1723.4;32768;69.9;1.0;0;126;17.9;10.7;6.95;4.08;5.5;4.21;0.0033;1.35;-0.29;0.394;0.007;216.62;10742.2;23437.5
1656;2;7638.089650299999;1;75.2;1589.7;1032991.69921875;2548.7;32768;69.9;868.8;14;127;465.8;1.4;80.17;10.08;29.5;36.61;0.2681;2.93;-0.06;0.9453;0.5271;1.65;1434.3;957183.8
1657;3;7639.022927399999;2;71.8;167.8;116211.669921875;2631.7;32768;69.9;3.2;0;128;22.3;12.7;6.76;3.79;5.18;4.31;0.0044;1.37;-0.73;0.3073;0.0103;119.13;12695.3;26367.2
1658;3;7640.8282032;2;71.8;7805.8;405714.84375;720.9;32768;69.9;7634.2;4;129;17.3;13.7;4.93;3.12;4.02;3.44;0.0036;1.29;-0.18;0.4065;0.007;215.35;13671.9;29296.9
1659;2;7642.6885053;1;75.5;1411.8;745301.7578125;2297.9;32768;69.9;871.1;9;130;434.6;1.4;80.98;12.14;32.56;38.3;0.2465;2.68;0.16;0.9304;0.4978;1.63;1434.3;953399.7
1660;3;7643.623037699999;2;72.8;144.0;176322.265625;3499.0;32768;69.9;4.4;1;131;18.1;12.7;5.63;3.36;4.42;3.44;0.0026;1.32;-0.38;0.279;0.0059;215.58;12695.3;25390.6
1661;3;7645.429358699999;2;73.4;479.1;291891.357421875;2467.8;32768;69.9;470.9;1;132;18.2;13.7;4.41;2.9;3.67;3.04;0.0021;1.27;-0.1;0.3967;0.0035;434.31;13671.9;33203.1
1664;2;7647.2904094;1;73.4;1248.3;573396.484375;2143.2;32768;69.9;612.1;7;133;369.4;1.3;66.4;10.82;27.61;35.32;0.2066;2.55;0.11;0.897;0.4249;1.68;1281.7;948120.1
1665;3;7648.222338;2;71.1;172.3;129883.30078125;2745.3;32768;69.9;1.3;1;134;19.4;12.7;5.6;3.24;4.34;3.57;0.0035;1.34;-0.16;0.2592;0.0076;153.48;12695.3;18554.7
1666;3;7650.0309207;2;72.8;306.4;173693.603515625;2380.8;32768;69.9;28.6;2;135;23.2;8.8;5.65;3.57;4.59;3.47;0.0057;1.29;-0.05;0.4321;0.0076;190.29;8789.1;61523.4
1667;2;7651.889352599999;1;74.0;1246.4;642117.919921875;2270.2;32768;69.9;219.8;9;136;100.0;12.0;55.77;10.5;25.11;30.65;0.0511;2.39;0.41;0.6358;0.1102;8.75;12023.9;750122.1
1668;3;7652.842721399999;2;73.7;326.0;250330.078125;2770.9;32768;69.9;293.0;2;137;17.0;14.6;4.93;3.36;4.18;3.04;0.0014;1.24;-0.19;0.3538;0.0038;364.04;14648.4;20507.8
1669;3;7654.6293169;2;71.1;57.5;163822.509765625;5338.1;32768;69.9;0.5;0;138;18.8;13.7;4.65;3.16;3.91;2.83;0.0035;1.24;0.08;0.368;0.0077;204.21;13671.9;27343.8
1672;3;7659.2301959999995;2;72.8;85.3;149513.916015625;4187.1;32768;69.9;43.0;2;139;21.0;13.7;6.51;3.86;5.21;4.57;0.004;1.35;0.1;0.2577;0.0098;128.51;13671.9;19531.2
1673;2;7660.2145697999995;1;71.1;916.1;337203.125;1919.0;32768;69.9;238.0;1;140;475.2;3.4;62.44;10.52;25.82;38.52;0.2669;2.45;-0.14;0.9504;0.5367;1.67;3418.0;956481.9
1674;3;7663.828697;2;74.8;491.0;330388.427734375;2593.8;32768;69.9;446.7;7;141;15.5;13.7;5.62;3.44;4.53;3.77;0.0022;1.32;-0.12;0.3518;0.0038;466.52;13671.9;20507.8
1675;2;7664.8318672;1;77.3;1159.8;1291599.365234375;3337.2;32768;69.9;73.1;10;142;466.5;3.4;97.13;11.55;35.77;49.57;0.2675;3.1;-0.3;0.946;0.5245;1.66;3448.5;956817.6
1678;3;7666.6301281999995;2;72.8;14.3;131684.326171875;9595.9;32768;69.9;6.6;0;143;21.2;11.7;6.17;3.97;5.14;4.34;0.0052;1.29;-0.65;0.272;0.0113;106.96;11718.8;25390.6
1679;2;7669.431540199999;1;74.2;997.7;608389.16015625;2469.9;32768;69.9;46.7;5;144;473.3;1.3;77.36;11.57;30.63;40.99;0.2739;2.65;-0.48;0.9496;0.5356;1.66;1281.7;960235.6
1680;2;7670.3077496;1;71.5;493.6;319362.548828125;2543.6;32768;69.9;452.6;2;145;485.0;11.8;62.57;11.16;26.63;38.11;0.2763;2.39;0.32;0.952;0.5353;1.66;11810.3;963073.7
1681;3;7671.2347488;2;76.1;637.4;432889.404296875;2606.1;32768;69.9;389.4;3;146;16.2;11.7;4.95;3.42;4.2;3.05;0.0007;1.23;-0.43;0.3443;0.0019;703.54;11718.8;25390.6
1682;3;7671.2581364;2;77.1;857.5;649961.42578125;2753.5;32768;69.9;484.1;8;147;16.5;13.7;4.43;3.06;3.8;3.04;0.0004;1.24;-0.36;0.325;0.0014;1104.5;13671.9;26367.2
1683;3;7673.057047599999;2;71.1;40.4;321540.0390625;8921.1;32768;69.9;1.7;1;148;16.4;12.7;3.06;2.29;2.68;2.02;0.0018;1.17;-0.01;0.3059;0.0046;290.18;12695.3;21484.4
1684;2;7674.0476529;1;77.3;957.1;856446.2890625;2991.1;32768;69.9;349.7;9;149;462.1;2.0;104.02;14.02;40.69;62.45;0.251;2.9;-1.13;0.9395;0.5137;1.63;1983.6;957458.5
1687;3;7675.8349892999995;2;70.3;140.1;112968.505859375;2839.6;32768;69.9;0.1;1;150;25.1;25.4;5.61;3.21;4.33;3.71;0.0041;1.35;0.09;0.3516;0.0095;132.32;25390.6;26367.2
1688;2;7678.6266295;1;70.3;242.3;213944.82421875;2971.6;32768;69.9;0.1;0;151;479.0;70.1;58.81;11.56;25.49;34.44;0.279;2.2;-0.49;0.9529;0.5443;1.66;70068.4;959289.6
1689;3;7680.4375485;2;75.2;289.5;332953.857421875;3391.5;32768;69.9;105.2;4;152;16.2;11.7;5.74;3.41;4.58;3.87;0.0017;1.34;-0.4;0.2754;0.004;325.67;11718.8;17578.1
1690;3;7680.4589829999995;2;71.1;106.3;130423.095703125;3503.1;32768;69.9;1.5;1;153;20.5;17.6;5.61;3.37;4.49;3.8;0.004;1.33;0.21;0.3926;0.01;129.11;17578.1;21484.4
1691;2;7683.2413369;1;74.0;1156.9;660925.537109375;2390.0;32768;69.9;347.6;6;154;474.0;2.3;71.68;10.84;28.34;34.79;0.2714;2.61;-0.4;0.9485;0.5297;1.66;2258.3;957946.8
1692;3;7685.0442462;2;76.7;820.0;562096.923828125;2618.4;32768;69.9;328.4;9;155;18.0;11.7;4.35;3.01;3.71;2.78;0.003;1.23;-0.06;0.3883;0.0025;585.72;11718.8;35156.2
1695;2;7687.8417595;1;73.4;923.9;417291.9921875;2124.8;32768;69.9;44.8;3;156;473.9;2.3;76.67;12.62;31.75;43.69;0.2696;2.52;-0.31;0.9477;0.5278;1.66;2258.3;959869.4
1696;3;7689.6466292;2;77.5;1052.2;1126381.8359375;3271.7;32768;69.9;708.1;23;157;19.7;13.7;3.83;2.61;3.22;2.51;0.0032;1.24;-0.13;0.437;0.002;574.87;13671.9;51757.8
1697;2;7692.4479825;1;72.8;318.7;337026.85546875;3252.2;32768;69.9;39.9;1;158;477.5;2.5;74.03;12.92;31.4;43.79;0.2686;2.43;-0.61;0.9473;0.5311;1.66;2533.0;959930.4
1698;3;7694.2472337;2;72.2;806.7;231775.87890625;1694.7;32768;69.9;55.1;3;159;19.9;13.7;4.17;2.96;3.58;2.38;0.0067;1.21;0.05;0.413;0.007;232.52;13671.9;50781.2
1701;2;7697.0835373;1;86.5;1954.5;8851210.44921875;6729.7;32768;69.9;225.7;30;160;406.5;2.0;175.06;12.91;49.3;47.73;0.227;3.82;-0.49;0.9099;0.4642;1.62;1983.6;952941.9
1702;3;7697.0836223;2;75.2;852.4;476558.59375;2364.4;32768;69.9;652.6;7;161;23.9;17.6;4.41;2.92;3.67;2.92;0.0026;1.26;-0.21;0.4081;0.0032;482.51;17578.1;56640.6
1703;3;7698.8476019;2;70.7;227.0;119559.326171875;2294.8;32768;69.9;0.3;1;162;20.8;16.6;5.43;3.23;4.31;3.72;0.0031;1.33;-0.12;0.3588;0.0082;172.15;16601.6;23437.5
1704;2;7701.7137852999995;1;84.2;1546.5;4461296.142578125;5370.9;32768;69.9;164.3;19;163;436.7;1.5;163.75;13.74;51.8;66.16;0.2449;3.77;-0.09;0.9287;0.4929;1.62;1495.4;955505.4
1705;3;7701.714263999999;2;75.0;705.4;396442.3828125;2370.6;32768;69.9;179.7;5;164;20.4;17.6;4.22;3.0;3.65;2.82;0.0011;1.22;-0.2;0.2835;0.003;516.07;17578.1;25390.6
1706;3;7703.454273599999;2;76.1;1659.3;1270170.41015625;2766.8;32768;69.9;628.5;19;165;19.2;12.7;3.45;2.31;2.88;2.47;0.0029;1.25;0.05;0.4179;0.0021;611.04;12695.3;53710.9
1709;2;7706.307387999999;1;84.7;2123.2;6058656.73828125;5342.2;32768;69.9;159.4;32;166;423.4;1.3;157.02;12.61;46.57;50.31;0.2437;3.69;-0.64;0.9209;0.4873;1.63;1281.7;953674.3
1710;3;7706.3078859;2;75.0;281.8;276326.66015625;3131.4;32768;69.9;156.9;2;167;21.3;17.6;5.52;3.49;4.55;3.86;0.0017;1.3;-0.28;0.3155;0.0047;331.28;17578.1;25390.6
1711;3;7708.0515663999995;2;71.5;444.6;156693.84765625;1877.0;32768;69.9;417.6;3;168;18.5;12.7;5.12;3.23;4.21;3.63;0.0022;1.3;0.13;0.3824;0.0054;276.68;12695.3;25390.6
1712;2;7715.49928;1;83.9;1700.8;5292252.197265625;5577.7;32768;69.9;807.9;27;169;434.5;2.0;148.09;12.25;44.26;44.16;0.2472;3.61;-0.18;0.9272;0.494;1.62;1983.6;957000.7
1713;3;7715.499918099999;2;70.7;72.9;147833.984375;4503.6;32768;69.9;1.1;0;170;23.6;17.6;4.36;2.97;3.7;3.14;0.0037;1.25;-0.08;0.2181;0.0094;139.68;17578.1;18554.7
1716;3;7717.2557664;2;72.5;370.0;244309.5703125;2569.2;32768;69.9;366.2;1;171;17.3;13.7;4.11;2.85;3.49;2.52;0.0034;1.23;-0.09;0.3556;0.0046;350.73;13671.9;23437.5
1717;2;7724.696231;1;77.1;904.0;1183859.86328125;3618.8;32768;69.9;174.9;11;172;450.0;2.0;92.94;11.45;35.08;50.93;0.2607;3.06;0.31;0.9329;0.5103;1.64;1983.6;956939.7
1720;3;7728.244903999999;2;70.3;0.1;69753.41796875;83518.5;32768;69.9;0.1;0;173;32.6;13.7;7.56;4.23;5.84;5.36;0.013;1.38;-0.08;0.3342;0.0275;44.51;13671.9;24414.1
1721;3;7732.8505538;2;75.9;863.9;514823.2421875;2441.2;32768;69.9;459.9;5;174;14.0;13.7;4.81;3.24;4.08;3.43;0.001;1.26;-0.28;0.3723;0.0021;682.33;13671.9;24414.1
1722;3;7734.5089897;2;72.5;34.7;46660.888671875;3666.9;32768;69.9;0.8;2;175;159.5;59.6;27.06;6.87;13.77;15.82;0.1122;2.0;0.12;0.5855;0.1541;7.44;59570.3;787109.4
1725;3;7737.4496627;2;74.0;54.9;193380.126953125;5935.1;32768;69.9;7.0;1;176;17.2;13.7;6.14;3.97;5.12;4.34;0.0032;1.29;-0.32;0.3066;0.0069;194.66;13671.9;16601.6
1726;3;7740.2769038999995;2;75.9;845.8;692596.19140625;2862.1;32768;69.9;603.6;9;177;16.3;16.6;3.77;2.56;3.18;2.59;0.0007;1.24;0.1;0.3558;0.0015;1166.02;16601.6;23437.5
1727;2;7743.116605499999;1;71.1;796.5;356691.89453125;2116.6;32768;69.9;76.9;4;178;464.5;1.3;60.1;10.33;25.29;37.75;0.2633;2.45;0.78;0.9418;0.5232;1.64;1281.7;957977.3
1728;3;7744.8844515;2;76.3;993.2;778687.98828125;2799.6;32768;69.9;610.4;11;179;20.8;16.6;3.93;2.64;3.3;2.73;0.0054;1.25;-0.03;0.4458;0.0022;454.32;16601.6;70312.5
1731;3;7749.4981134;2;81.5;763.8;1072307.861328125;3746.8;32768;69.9;162.6;20;180;29.2;7.8;6.12;3.89;5.05;3.71;0.0035;1.3;-0.1;0.5208;0.0019;214.76;7812.5;86914.1
1734;2;7756.9365921;1;72.8;761.5;277997.55859375;1910.8;32768;69.9;752.7;1;181;472.1;1.5;80.1;13.98;33.86;50.81;0.2757;2.42;-1.33;0.9497;0.537;1.66;1495.4;956024.2
1735;2;7757.7291557;1;75.7;1267.3;1033468.994140625;2855.9;32768;69.9;751.6;12;182;470.3;11.5;80.53;10.62;30.65;40.92;0.267;2.89;0.3;0.9466;0.5273;1.64;11505.1;958496.1
1736;3;7758.668651;2;73.1;456.7;188881.8359375;2033.7;32768;69.9;43.3;1;183;21.0;10.7;5.49;3.49;4.5;3.5;0.0034;1.29;-0.3;0.4554;0.0059;284.97;10742.2;26367.2
